message,label
Hey! Don't forget about team lunch tomorrow.,0
Reminder: Doctor appointment tomorrow at 10:00 AM.,0
Thanks for sending over the invoice. We will process it shortly.,0
Can you review the pull request on GitHub when you have a moment?,0
ALERT: Paypal account restricted! Verify your identity now to restore access: http://paypal-auth.online,1
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
"Hi John, hope you are doing well!",0
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
Great presentation today! Everyone loved the slides.,0
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
ALERT: Paypal account restricted! Verify your identity now to restore access: http://paypal-auth.online,1
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
"Hi John, hope you are doing well!",0
Reminder: Doctor appointment tomorrow at 10:00 AM.,0
Here is the recipe for the cake we talked about.,0
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
Please find attached the monthly project status report.,0
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
The server deployment completed successfully without issues.,0
The server deployment completed successfully without issues.,0
Happy birthday! Hope you have a wonderful day!,0
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
ALERT: Paypal account restricted! Verify your identity now to restore access: http://paypal-auth.online,1
"Claim your $5,000 lottery prize today! No fees required, reply with your full name and bank account number.",1
Can you pick up milk and bread on your way home?,0
The server deployment completed successfully without issues.,0
"Exclusive offer! 90% discount on Rolex watches and iPhones! Limited time only, click http://buy-cheap-deals.club",1
ALERT: Paypal account restricted! Verify your identity now to restore access: http://paypal-auth.online,1
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
Please find attached the monthly project status report.,0
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
Can you pick up milk and bread on your way home?,0
URGENT: Your bank account has been suspended due to suspicious activity. Verify now at http://bank-verify.top,1
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
Let me know when you are free for a quick sync call.,0
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
"Claim your $5,000 lottery prize today! No fees required, reply with your full name and bank account number.",1
"Exclusive offer! 90% discount on Rolex watches and iPhones! Limited time only, click http://buy-cheap-deals.club",1
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
The flight reservation confirmation code is ABC123XYZ.,0
Your package from Amazon is out for delivery today.,0
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
Here is the recipe for the cake we talked about.,0
ALERT: Paypal account restricted! Verify your identity now to restore access: http://paypal-auth.online,1
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
URGENT: Your bank account has been suspended due to suspicious activity. Verify now at http://bank-verify.top,1
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
URGENT: Your bank account has been suspended due to suspicious activity. Verify now at http://bank-verify.top,1
"Dear Customer, your credit card has been charged $499.00. If you did not authorize this, call 1-800-FAKE-NUM or click link.",1
Please find attached the monthly project status report.,0
"Exclusive offer! 90% discount on Rolex watches and iPhones! Limited time only, click http://buy-cheap-deals.club",1
"Exclusive offer! 90% discount on Rolex watches and iPhones! Limited time only, click http://buy-cheap-deals.club",1
Can you pick up milk and bread on your way home?,0
Thanks for sending over the invoice. We will process it shortly.,0
Are we still meeting at 3 PM today?,0
URGENT: Your bank account has been suspended due to suspicious activity. Verify now at http://bank-verify.top,1
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
Great presentation today! Everyone loved the slides.,0
Are we still meeting at 3 PM today?,0
Can you pick up milk and bread on your way home?,0
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
Are we still meeting at 3 PM today?,0
"Claim your $5,000 lottery prize today! No fees required, reply with your full name and bank account number.",1
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
Can you pick up milk and bread on your way home?,0
Let me know when you are free for a quick sync call.,0
Are we still meeting at 3 PM today?,0
Great presentation today! Everyone loved the slides.,0
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
Here is the recipe for the cake we talked about.,0
"Exclusive offer! 90% discount on Rolex watches and iPhones! Limited time only, click http://buy-cheap-deals.club",1
"Dear Customer, your credit card has been charged $499.00. If you did not authorize this, call 1-800-FAKE-NUM or click link.",1
"Claim your $5,000 lottery prize today! No fees required, reply with your full name and bank account number.",1
Happy birthday! Hope you have a wonderful day!,0
Let me know when you are free for a quick sync call.,0
The flight reservation confirmation code is ABC123XYZ.,0
Thanks for sending over the invoice. We will process it shortly.,0
Please find attached the monthly project status report.,0
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
Great presentation today! Everyone loved the slides.,0
Hey! Don't forget about team lunch tomorrow.,0
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
"Claim your $5,000 lottery prize today! No fees required, reply with your full name and bank account number.",1
"Claim your $5,000 lottery prize today! No fees required, reply with your full name and bank account number.",1
Are we still meeting at 3 PM today?,0
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
"Claim your $5,000 lottery prize today! No fees required, reply with your full name and bank account number.",1
"Dear Customer, your credit card has been charged $499.00. If you did not authorize this, call 1-800-FAKE-NUM or click link.",1
ALERT: Paypal account restricted! Verify your identity now to restore access: http://paypal-auth.online,1
Happy birthday! Hope you have a wonderful day!,0
"Dear Customer, your credit card has been charged $499.00. If you did not authorize this, call 1-800-FAKE-NUM or click link.",1
Here is the recipe for the cake we talked about.,0
ALERT: Paypal account restricted! Verify your identity now to restore access: http://paypal-auth.online,1
The flight reservation confirmation code is ABC123XYZ.,0
"Hi John, hope you are doing well!",0
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
Happy birthday! Hope you have a wonderful day!,0
"Claim your $5,000 lottery prize today! No fees required, reply with your full name and bank account number.",1
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
"Dear Customer, your credit card has been charged $499.00. If you did not authorize this, call 1-800-FAKE-NUM or click link.",1
"Claim your $5,000 lottery prize today! No fees required, reply with your full name and bank account number.",1
URGENT: Your bank account has been suspended due to suspicious activity. Verify now at http://bank-verify.top,1
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
Your package from Amazon is out for delivery today.,0
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
"Claim your $5,000 lottery prize today! No fees required, reply with your full name and bank account number.",1
Let me know when you are free for a quick sync call.,0
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
Here is the recipe for the cake we talked about.,0
Reminder: Doctor appointment tomorrow at 10:00 AM.,0
"Dear Customer, your credit card has been charged $499.00. If you did not authorize this, call 1-800-FAKE-NUM or click link.",1
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
"Hi John, hope you are doing well!",0
Here is the recipe for the cake we talked about.,0
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
"Exclusive offer! 90% discount on Rolex watches and iPhones! Limited time only, click http://buy-cheap-deals.club",1
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
Great presentation today! Everyone loved the slides.,0
Thanks for sending over the invoice. We will process it shortly.,0
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
Let me know when you are free for a quick sync call.,0
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
Please find attached the monthly project status report.,0
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
The flight reservation confirmation code is ABC123XYZ.,0
Let me know when you are free for a quick sync call.,0
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
Your package from Amazon is out for delivery today.,0
Please find attached the monthly project status report.,0
Happy birthday! Hope you have a wonderful day!,0
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
Thanks for sending over the invoice. We will process it shortly.,0
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
The flight reservation confirmation code is ABC123XYZ.,0
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
The flight reservation confirmation code is ABC123XYZ.,0
ALERT: Paypal account restricted! Verify your identity now to restore access: http://paypal-auth.online,1
Are we still meeting at 3 PM today?,0
Happy birthday! Hope you have a wonderful day!,0
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
"Dear Customer, your credit card has been charged $499.00. If you did not authorize this, call 1-800-FAKE-NUM or click link.",1
Thanks for sending over the invoice. We will process it shortly.,0
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
Please find attached the monthly project status report.,0
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
URGENT: Your bank account has been suspended due to suspicious activity. Verify now at http://bank-verify.top,1
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
"Claim your $5,000 lottery prize today! No fees required, reply with your full name and bank account number.",1
Are we still meeting at 3 PM today?,0
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
Happy birthday! Hope you have a wonderful day!,0
Can you pick up milk and bread on your way home?,0
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
"Hi John, hope you are doing well!",0
"Claim your $5,000 lottery prize today! No fees required, reply with your full name and bank account number.",1
ALERT: Paypal account restricted! Verify your identity now to restore access: http://paypal-auth.online,1
The server deployment completed successfully without issues.,0
Can you review the pull request on GitHub when you have a moment?,0
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
Let me know when you are free for a quick sync call.,0
"Dear Customer, your credit card has been charged $499.00. If you did not authorize this, call 1-800-FAKE-NUM or click link.",1
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
"Exclusive offer! 90% discount on Rolex watches and iPhones! Limited time only, click http://buy-cheap-deals.club",1
Reminder: Doctor appointment tomorrow at 10:00 AM.,0
Please find attached the monthly project status report.,0
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
"Exclusive offer! 90% discount on Rolex watches and iPhones! Limited time only, click http://buy-cheap-deals.club",1
Happy birthday! Hope you have a wonderful day!,0
"Dear Customer, your credit card has been charged $499.00. If you did not authorize this, call 1-800-FAKE-NUM or click link.",1
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
"Exclusive offer! 90% discount on Rolex watches and iPhones! Limited time only, click http://buy-cheap-deals.club",1
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
ALERT: Paypal account restricted! Verify your identity now to restore access: http://paypal-auth.online,1
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
Let me know when you are free for a quick sync call.,0
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
Are we still meeting at 3 PM today?,0
Happy birthday! Hope you have a wonderful day!,0
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
ALERT: Paypal account restricted! Verify your identity now to restore access: http://paypal-auth.online,1
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
Can you review the pull request on GitHub when you have a moment?,0
Can you pick up milk and bread on your way home?,0
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
Your package from Amazon is out for delivery today.,0
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
Can you review the pull request on GitHub when you have a moment?,0
Hey! Don't forget about team lunch tomorrow.,0
Hey! Don't forget about team lunch tomorrow.,0
Great presentation today! Everyone loved the slides.,0
Are we still meeting at 3 PM today?,0
Happy birthday! Hope you have a wonderful day!,0
"Exclusive offer! 90% discount on Rolex watches and iPhones! Limited time only, click http://buy-cheap-deals.club",1
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
Your package from Amazon is out for delivery today.,0
The server deployment completed successfully without issues.,0
Can you pick up milk and bread on your way home?,0
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
Here is the recipe for the cake we talked about.,0
The server deployment completed successfully without issues.,0
Happy birthday! Hope you have a wonderful day!,0
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
Thanks for sending over the invoice. We will process it shortly.,0
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
Happy birthday! Hope you have a wonderful day!,0
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
Your package from Amazon is out for delivery today.,0
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
Can you review the pull request on GitHub when you have a moment?,0
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
Can you pick up milk and bread on your way home?,0
Nigerian Prince inheritance transfer: $10.5 Million available. Send your bank details to claim.,1
Thanks for sending over the invoice. We will process it shortly.,0
Reminder: Doctor appointment tomorrow at 10:00 AM.,0
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
Reminder: Doctor appointment tomorrow at 10:00 AM.,0
"Exclusive offer! 90% discount on Rolex watches and iPhones! Limited time only, click http://buy-cheap-deals.club",1
URGENT: Your bank account has been suspended due to suspicious activity. Verify now at http://bank-verify.top,1
Your package from Amazon is out for delivery today.,0
URGENT: Your bank account has been suspended due to suspicious activity. Verify now at http://bank-verify.top,1
ALERT: Paypal account restricted! Verify your identity now to restore access: http://paypal-auth.online,1
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
Your package from Amazon is out for delivery today.,0
The server deployment completed successfully without issues.,0
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
Great presentation today! Everyone loved the slides.,0
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
Are we still meeting at 3 PM today?,0
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
The flight reservation confirmation code is ABC123XYZ.,0
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
Are we still meeting at 3 PM today?,0
Great presentation today! Everyone loved the slides.,0
"Hi John, hope you are doing well!",0
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
Here is the recipe for the cake we talked about.,0
Are we still meeting at 3 PM today?,0
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
Can you review the pull request on GitHub when you have a moment?,0
"Dear Customer, your credit card has been charged $499.00. If you did not authorize this, call 1-800-FAKE-NUM or click link.",1
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
Happy birthday! Hope you have a wonderful day!,0
"Exclusive offer! 90% discount on Rolex watches and iPhones! Limited time only, click http://buy-cheap-deals.club",1
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
Congratulations winner! You were randomly selected for a free iPhone 15 Pro. Claim within 5 minutes!,1
The flight reservation confirmation code is ABC123XYZ.,0
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
"Hi John, hope you are doing well!",0
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
The flight reservation confirmation code is ABC123XYZ.,0
"Claim your $5,000 lottery prize today! No fees required, reply with your full name and bank account number.",1
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
Here is the recipe for the cake we talked about.,0
Thanks for sending over the invoice. We will process it shortly.,0
The flight reservation confirmation code is ABC123XYZ.,0
Thanks for sending over the invoice. We will process it shortly.,0
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
Your package from Amazon is out for delivery today.,0
URGENT: Your bank account has been suspended due to suspicious activity. Verify now at http://bank-verify.top,1
Great presentation today! Everyone loved the slides.,0
URGENT: Your bank account has been suspended due to suspicious activity. Verify now at http://bank-verify.top,1
Your package from Amazon is out for delivery today.,0
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
Your package cannot be delivered due to incomplete address. Update info now: http://usps-tracking-update.xyz,1
Here is the recipe for the cake we talked about.,0
"Hi John, hope you are doing well!",0
Are we still meeting at 3 PM today?,0
Are we still meeting at 3 PM today?,0
"CONGRATULATIONS! You have won a $1,000 Amazon Gift Card! Click here to claim: http://claim-gift.xyz",1
You have (1) unread security alert! Login to secure your account: http://security-portal.work,1
Final Warning! Your Netflix subscription is expired. Update payment details immediately: http://netflix-update.site,1
URGENT ACTION REQUIRED: Someone tried to login from Russia. Change your password immediately: http://account-sec.tk,1
"Dear Customer, your credit card has been charged $499.00. If you did not authorize this, call 1-800-FAKE-NUM or click link.",1
